title min_salary max_salary currency
"Алгоритмический трейдер / Quant Researcher" 5000 Nan USD
"Разработчик Python" 60000 80000 руб
"Разработчик Full-Stack Junior" 300000 Nan KZT
"Data Scientist (Sber AI Lab: Applied Research)" 220000 230000 руб
"Senior data scientist" Nan Nan Nan
"Аналитик данных" Nan Nan Nan
"Data Scientist в области рекомендательных систем" Nan Nan Nan
"DS/ML engineer" Nan Nan Nan
"Программист junior / middle backend-разработчик" 60000 200000 руб
"Tech Lead Python разработки" 1000000 Nan KZT
"Data engineer" Nan Nan Nan
"Go-разработчик (SberInfra)" Nan Nan Nan
"Data Engineer" Nan Nan Nan
"Разработчик Perl" 200000 300000 руб
"Разработчик на C# (удаленно)" Nan Nan Nan
"Инженер по тестированию ПО" 130000 160000 руб
"Python разработчик" Nan 450000 руб
"Стажер-разработчик Python" 20000 50000 руб
"Python Developer (в ОАЭ)" 4000 7000 USD
"Разработчик Python" 100000 200000 руб
"Алгоритмический трейдер / Quant Researcher" 5000 Nan USD
"Разработчик Python" 60000 80000 руб
"Разработчик Full-Stack Junior" 300000 Nan KZT
"Data Scientist (Sber AI Lab: Applied Research)" 220000 230000 руб
"Senior data scientist" Nan Nan Nan
"Аналитик данных" Nan Nan Nan
"Data Scientist в области рекомендательных систем" Nan Nan Nan
"DS/ML engineer" Nan Nan Nan
"Программист junior / middle backend-разработчик" 60000 200000 руб
"Tech Lead Python разработки" 1000000 Nan KZT
"Data engineer" Nan Nan Nan
"Go-разработчик (SberInfra)" Nan Nan Nan
"Data Engineer" Nan Nan Nan
"Разработчик Perl" 200000 300000 руб
"Разработчик на C# (удаленно)" Nan Nan Nan
"Инженер по тестированию ПО" 130000 160000 руб
"Python разработчик" Nan 450000 руб
"Стажер-разработчик Python" 20000 50000 руб
"Python Developer (в ОАЭ)" 4000 7000 USD
"Разработчик Python" 100000 200000 руб
"Алгоритмический трейдер / Quant Researcher" 5000 Nan USD
"Разработчик Python" 60000 80000 руб
"Разработчик Full-Stack Junior" 300000 Nan KZT
"Data Scientist (Sber AI Lab: Applied Research)" 220000 230000 руб
"Senior data scientist" Nan Nan Nan
"Аналитик данных" Nan Nan Nan
"Data Scientist в области рекомендательных систем" Nan Nan Nan
"DS/ML engineer" Nan Nan Nan
"Программист junior / middle backend-разработчик" 60000 200000 руб
"Tech Lead Python разработки" 1000000 Nan KZT
"Data engineer" Nan Nan Nan
"Go-разработчик (SberInfra)" Nan Nan Nan
"Data Engineer" Nan Nan Nan
"Разработчик Perl" 200000 300000 руб
"Разработчик на C# (удаленно)" Nan Nan Nan
"Инженер по тестированию ПО" 130000 160000 руб
"Python разработчик" Nan 450000 руб
"Стажер-разработчик Python" 20000 50000 руб
"Python Developer (в ОАЭ)" 4000 7000 USD
"Разработчик Python" 100000 200000 руб
"Алгоритмический трейдер / Quant Researcher" 5000 Nan USD
"Разработчик Python" 60000 80000 руб
"Разработчик Full-Stack Junior" 300000 Nan KZT
"Data Scientist (Sber AI Lab: Applied Research)" 220000 230000 руб
"Senior data scientist" Nan Nan Nan
"Аналитик данных" Nan Nan Nan
"Data Scientist в области рекомендательных систем" Nan Nan Nan
"DS/ML engineer" Nan Nan Nan
"Программист junior / middle backend-разработчик" 60000 200000 руб
"Tech Lead Python разработки" 1000000 Nan KZT
"Data engineer" Nan Nan Nan
"Go-разработчик (SberInfra)" Nan Nan Nan
"Data Engineer" Nan Nan Nan
"Разработчик Perl" 200000 300000 руб
"Разработчик на C# (удаленно)" Nan Nan Nan
"Инженер по тестированию ПО" 130000 160000 руб
"Python разработчик" Nan 450000 руб
"Стажер-разработчик Python" 20000 50000 руб
"Python Developer (в ОАЭ)" 4000 7000 USD
"Разработчик Python" 100000 200000 руб
"Алгоритмический трейдер / Quant Researcher" 5000 Nan USD
"Разработчик Python" 60000 80000 руб
"Разработчик Full-Stack Junior" 300000 Nan KZT
"Data Scientist (Sber AI Lab: Applied Research)" 220000 230000 руб
"Senior data scientist" Nan Nan Nan
"Аналитик данных" Nan Nan Nan
"Data Scientist в области рекомендательных систем" Nan Nan Nan
"DS/ML engineer" Nan Nan Nan
"Программист junior / middle backend-разработчик" 60000 200000 руб
"Tech Lead Python разработки" 1000000 Nan KZT
"Data engineer" Nan Nan Nan
"Go-разработчик (SberInfra)" Nan Nan Nan
"Data Engineer" Nan Nan Nan
"Разработчик Perl" 200000 300000 руб
"Разработчик на C# (удаленно)" Nan Nan Nan
"Инженер по тестированию ПО" 130000 160000 руб
"Python разработчик" Nan 450000 руб
"Стажер-разработчик Python" 20000 50000 руб
"Python Developer (в ОАЭ)" 4000 7000 USD
"Разработчик Python" 100000 200000 руб
"Алгоритмический трейдер / Quant Researcher" 5000 Nan USD
"Разработчик Python" 60000 80000 руб
"Разработчик Full-Stack Junior" 300000 Nan KZT
"Data Scientist (Sber AI Lab: Applied Research)" 220000 230000 руб
"Senior data scientist" Nan Nan Nan
"Аналитик данных" Nan Nan Nan
"Data Scientist в области рекомендательных систем" Nan Nan Nan
"DS/ML engineer" Nan Nan Nan
"Программист junior / middle backend-разработчик" 60000 200000 руб
"Tech Lead Python разработки" 1000000 Nan KZT
"Data engineer" Nan Nan Nan
"Go-разработчик (SberInfra)" Nan Nan Nan
"Data Engineer" Nan Nan Nan
"Разработчик Perl" 200000 300000 руб
"Разработчик на C# (удаленно)" Nan Nan Nan
"Инженер по тестированию ПО" 130000 160000 руб
"Python разработчик" Nan 450000 руб
"Стажер-разработчик Python" 20000 50000 руб
"Python Developer (в ОАЭ)" 4000 7000 USD
"Разработчик Python" 100000 200000 руб
"Алгоритмический трейдер / Quant Researcher" 5000 Nan USD
"Разработчик Python" 60000 80000 руб
"Разработчик Full-Stack Junior" 300000 Nan KZT
"Data Scientist (Sber AI Lab: Applied Research)" 220000 230000 руб
"Senior data scientist" Nan Nan Nan
"Аналитик данных" Nan Nan Nan
"Data Scientist в области рекомендательных систем" Nan Nan Nan
"DS/ML engineer" Nan Nan Nan
"Программист junior / middle backend-разработчик" 60000 200000 руб
"Tech Lead Python разработки" 1000000 Nan KZT
"Data engineer" Nan Nan Nan
"Go-разработчик (SberInfra)" Nan Nan Nan
"Data Engineer" Nan Nan Nan
"Разработчик Perl" 200000 300000 руб
"Разработчик на C# (удаленно)" Nan Nan Nan
"Инженер по тестированию ПО" 130000 160000 руб
"Python разработчик" Nan 450000 руб
"Стажер-разработчик Python" 20000 50000 руб
"Python Developer (в ОАЭ)" 4000 7000 USD
"Разработчик Python" 100000 200000 руб
"Алгоритмический трейдер / Quant Researcher" 5000 Nan USD
"Разработчик Python" 60000 80000 руб
"Разработчик Full-Stack Junior" 300000 Nan KZT
"Data Scientist (Sber AI Lab: Applied Research)" 220000 230000 руб
"Senior data scientist" Nan Nan Nan
"Аналитик данных" Nan Nan Nan
"Data Scientist в области рекомендательных систем" Nan Nan Nan
"DS/ML engineer" Nan Nan Nan
"Программист junior / middle backend-разработчик" 60000 200000 руб
"Tech Lead Python разработки" 1000000 Nan KZT
"Data engineer" Nan Nan Nan
"Go-разработчик (SberInfra)" Nan Nan Nan
"Data Engineer" Nan Nan Nan
"Разработчик Perl" 200000 300000 руб
"Разработчик на C# (удаленно)" Nan Nan Nan
"Инженер по тестированию ПО" 130000 160000 руб
"Python разработчик" Nan 450000 руб
"Стажер-разработчик Python" 20000 50000 руб
"Python Developer (в ОАЭ)" 4000 7000 USD
"Разработчик Python" 100000 200000 руб
"Алгоритмический трейдер / Quant Researcher" 5000 Nan USD
"Разработчик Python" 60000 80000 руб
"Разработчик Full-Stack Junior" 300000 Nan KZT
"Data Scientist (Sber AI Lab: Applied Research)" 220000 230000 руб
